OBJECTID_1,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LOGRECNO,Shape_Length,Shape_Area
1,46,42,101,005000,42101005000,50,Census Tract 50,G5020,S,4504459,3340294,+39.8898768,-075.1691412,10389,48033.33505,88329434.93
2,47,42,101,005400,42101005400,54,Census Tract 54,G5020,S,1846253,530013,+39.8904539,-075.2513923,10390,24624.82314,25752131.41
3,48,42,101,005500,42101005500,55,Census Tract 55,G5020,S,1168442,12010,+39.9074191,-075.2489174,10391,20389.05994,12703639.15
4,49,42,101,005600,42101005600,56,Census Tract 56,G5020,S,840411,0,+39.8988328,-075.2447347,10392,11788.14757,9047139.025
5,50,42,101,006000,42101006000,60,Census Tract 60,G5020,S,1089657,0,+39.9115196,-075.2381570,10393,14205.26781,11755567.37
6,51,42,101,006100,42101006100,61,Census Tract 61,G5020,S,534201,0,+39.9150013,-075.2288094,10394,10254.36591,5677914.175
7,52,42,101,006200,42101006200,62,Census Tract 62,G5020,S,509636,0,+39.9194134,-075.2335257,10395,9459.042857,5485256.241
8,53,42,101,006300,42101006300,63,Census Tract 63,G5020,S,555602,0,+39.9210843,-075.2399762,10396,11623.41724,5981063.154
9,54,42,101,010000,42101010000,100,Census Tract 100,G5020,S,497695,0,+39.9710834,-075.2503759,10434,10905.24396,5350496.88
10,55,42,101,010100,42101010100,101,Census Tract 101,G5020,S,601437,0,+39.9721396,-075.2425290,10435,10370.02677,6473969.6
11,56,42,101,010200,42101010200,102,Census Tract 102,G5020,S,360618,0,+39.9680830,-075.2316701,10436,8074.098923,3881678.524
12,57,42,101,010300,42101010300,103,Census Tract 103,G5020,S,281357,0,+39.9678322,-075.2254383,10437,7815.312156,3027711.349
13,58,42,101,010400,42101010400,104,Census Tract 104,G5020,S,472051,0,+39.9654995,-075.2191193,10438,10720.46274,5092391.53
14,59,42,101,010500,42101010500,105,Census Tract 105,G5020,S,657766,0,+39.9665652,-075.2142018,10439,13540.833,7079505.849
15,60,42,101,010600,42101010600,106,Census Tract 106,G5020,S,265466,0,+39.9646327,-075.2079213,10440,7919.611965,2857396.302
16,61,42,101,010700,42101010700,107,Census Tract 107,G5020,S,460475,0,+39.9687475,-075.2069442,10441,10173.16099,4956471.551
17,62,42,101,010800,42101010800,108,Census Tract 108,G5020,S,585732,0,+39.9660217,-075.1989890,10442,12366.96126,6304181.663
18,63,42,101,010900,42101010900,109,Census Tract 109,G5020,S,248168,0,+39.9649286,-075.1917650,10443,6960.766694,2671107.24
19,64,42,101,011000,42101011000,110,Census Tract 110,G5020,S,472868,0,+39.9737291,-075.2062951,10444,11091.40027,5089944.172
20,65,42,101,011100,42101011100,111,Census Tract 111,G5020,S,1301411,0,+39.9752003,-075.2215745,10445,16965.07254,14007749.46
21,66,42,101,011200,42101011200,112,Census Tract 112,G5020,S,503162,0,+39.9736041,-075.2336533,10446,9324.823217,5416064.537
22,67,42,101,011300,42101011300,113,Census Tract 113,G5020,S,334899,0,+39.9786554,-075.2353346,10447,8034.469417,3604799.209
23,68,42,101,011400,42101011400,114,Census Tract 114,G5020,S,972947,0,+39.9807388,-075.2440178,10448,13929.95797,10472023.18
24,69,42,101,015700,42101015700,157,Census Tract 157,G5020,S,485211,0,+39.9780463,-075.1355242,10485,9382.492956,5222616.085
25,70,42,101,015800,42101015800,158,Census Tract 158,G5020,S,580218,0,+39.9735773,-075.1294327,10486,10518.34832,6244885.595
26,71,42,101,016000,42101016000,160,Census Tract 160,G5020,S,720839,0,+39.9793809,-075.1231903,10487,11154.18021,7759119.188
27,72,42,101,016100,42101016100,161,Census Tract 161,G5020,S,707586,0,+39.9844571,-075.1275250,10488,11545.65412,7616202.382
28,73,42,101,016200,42101016200,162,Census Tract 162,G5020,S,364983,0,+39.9840197,-075.1384217,10489,9351.993552,3928529.948
29,74,42,101,016300,42101016300,163,Census Tract 163,G5020,S,572226,0,+39.9885061,-075.1339156,10490,10876.48117,6158876.413
